gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
ENSBIXG00005021747	-1.7770168087784453	3.619035160310653	-5.479167678592044	1.787671222203145e-4	0.027539601151248132	1.057480353921311	down
ENSBIXG00005029109	-1.7326099923858247	3.613933673108889	-5.476805141273338	1.7941523144110837e-4	0.027539601151248132	1.0440276479865958	down
ENSBIXG00005028188	1.7578257628050586	5.829519844564743	5.566856239005778	1.5638533385671662e-4	0.027346010776451886	1.0390225328313951	up
ENSBIXG00005021285	-2.0258532663507745	4.0354597385214594	-5.439760579288657	1.8990999342675575e-4	0.027547739387415195	0.9695701428030796	down
ENSBIXG00005021852	1.683819974248367	5.819071377052075	5.512160553257822	1.699711552578914e-4	0.027539601151248132	0.9534296688756179	up
ENSBIXG00005018011	-1.3186202475767619	8.815451836131242	-5.553939874545623	1.594862209493604e-4	0.027410369514742672	0.924600451999396	down
ENSBIXG00005001950	2.264950609204519	2.880660928257665	5.33215360369012	2.2425489231191954e-4	0.028694220005934815	0.9077923499035432	up
ENSBIXG00005023700	-1.985206839120921	5.103039696811498	-5.46804583271235	1.8183997813729823e-4	0.027539601151248132	0.9055864688329454	down
ENSBIXG00005002987	-1.3717141916505078	5.006763901988913	-5.447390265138919	1.8769645908018703e-4	0.027539601151248132	0.8887426923190791	down
ENSBIXG00005024095	1.6641355502379804	4.559210938532495	5.403765410172546	2.0073256249849604e-4	0.028470568447703355	0.8742537651719093	up
ENSBIXG00005030552	-2.978169407133209	2.6393466397175427	-5.294402919097064	2.3781433295732567e-4	0.03005643524950755	0.8679415913396209	down
ENSBIXG00005023844	1.4874290505414067	4.23782157259936	5.3778789307512564	2.089187639871187e-4	0.028694220005934815	0.8519113886997607	up
ENSBIXG00005004545	-1.6719263210801216	3.4121196088245225	-5.338999105037832	2.2188503160053537e-4	0.028694220005934815	0.8460083377180903	down
ENSBIXG00005026026	1.7283561746213407	3.648258180663989	5.330623526666443	2.2478824916517676e-4	0.028694220005934815	0.8306842057062411	up
