transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
PB.4077.7	-6.93850040813924	-0.10325084368345656	-6.5613046947291425	7.911048398406407e-5	0.04165079834114451	1.3048753093898053	down
PB.20974.3	7.51499401722377	1.0085126326502774	6.718352817884433	6.548514351030896e-5	0.04085864500335454	1.292080851754819	up
PB.29537.3	1.5301382628409845	4.919563453285632	6.139640444353407	1.3344796051981416e-4	0.049434416636830264	1.29052355799422	up
PB.20615.9	-5.9188066570759865	-0.5122398831709706	-6.5407741541509425	8.110796386588822e-5	0.04165079834114451	1.2701446683010555	down
PB.15574.28	-5.975625317104874	-0.5584424183867851	-6.534312886813284	8.174786349309663e-5	0.04165079834114451	1.2658115025649828	down
PB.41124.8	6.239613455868906	-0.4290750035690867	6.68930161268908	6.77999111748538e-5	0.04085864500335454	1.247863154434726	up
PB.2428.39	6.025462380576805	-0.5086662627966189	6.690443720048982	6.770725109127948e-5	0.04085864500335454	1.2449594948406562	up
PB.5989.7	-6.305361387982146	-0.41267438622558755	-6.486363895394144	8.667112648510838e-5	0.042598432632713505	1.232937335934519	down
PB.36900.43	-5.615058048357917	-0.6998364399067052	-6.481542951071993	8.71836339156807e-5	0.042598432632713505	1.2138542067587208	down
PB.36841.5	6.747869009542198	0.4773032468103201	6.614918167824232	7.414146844462981e-5	0.04085864500335454	1.20520815289371	up
ENSBIXT00005047147	1.2558790584208435	6.753491553566919	6.155306092711548	1.3082702861559674e-4	0.04905265084099272	1.200392753215759	up
PB.6810.15	-5.667618978586301	-0.7042554654431423	-6.4618188780188905	8.931494734870891e-5	0.043011893960972845	1.1988744922154968	down
PB.36830.15	-5.8916347005422995	-0.4995592505796811	-6.432084068993519	9.2635459973871e-5	0.04357629744859505	1.1796219393697172	down
PB.41435.89	-5.913424456833182	-0.4867322536105337	-6.422786485037555	9.370100145938157e-5	0.04357629744859505	1.1723063686593171	down
PB.6960.166	-5.624008981962823	-0.6629474486127316	-6.429797397631021	9.289629875349675e-5	0.04357629744859505	1.1712262431793672	down
PB.36348.119	-5.751612965672265	-0.6047851516139489	-6.419882349324382	9.403654389261829e-5	0.04357629744859505	1.1662734700129658	down
PB.6846.8	-5.7377879822708975	0.02087685364427394	-6.376556056836482	9.920013470662458e-5	0.04456615984648821	1.1394669308504177	down
PB.4077.6	-6.861088932626252	-0.14627951173651513	-6.342591993567841	1.0346272424952794e-4	0.04468187934541388	1.1205470167530782	down
ENSBIXT00005021866	-5.944543256180481	0.08051578920217117	-6.347041899727205	1.0289312287694666e-4	0.04468187934541388	1.1178807460000195	down
PB.19376.7	-5.510862675262195	-0.7675143308690872	-6.352662701741447	1.0217849326065653e-4	0.04468187934541388	1.1034658733977993	down
PB.2484.2	-6.2185829175619185	-0.37569773789882993	-6.329524682767734	1.0515521111765726e-4	0.04497588252596662	1.099562425704831	down
PB.5608.21	-6.054439710862063	-0.4395566973698583	-6.318970559115128	1.0654408124763537e-4	0.04513895097870547	1.0872282732636664	down
PB.28118.11	-5.340182035586203	-0.847172948637103	-6.326987532893869	1.0548728777807794e-4	0.04497588252596662	1.0771095390557752	down
PB.4790.32	5.760473759092049	-0.6550250569678776	6.471175049319388	8.829699473316634e-5	0.04282980094524219	1.0708252110752596	up
PB.16258.114	-5.740974349961554	-0.5982861296779717	-6.292860867071991	1.10066091634196e-4	0.04604821317438403	1.0582765748450633	down
PB.25828.30	-5.9456452982540355	-0.4635384623319296	-6.266407180475362	1.1376344830171738e-4	0.0472994500985631	1.040119848139823	down
PB.19600.57	6.207940737853445	-0.4762865300264835	6.41681075195722	9.439285214966287e-5	0.04357629744859505	1.0356869489971503	up
PB.29663.116	-8.4795350821294	0.734809235486238	-6.216526739808559	1.2110616118950231e-4	0.04796878889860411	1.0265616886405375	down
PB.23131.7	-6.579952990288874	-0.14571801731359044	-6.2202776113673695	1.2053654601192991e-4	0.04796878889860411	1.0110861041411425	down
PB.9308.6	-5.676629652247664	-0.6348805258875857	-6.235546952215735	1.1824746323229352e-4	0.04795488496282952	1.0076599363869452	down
PB.42344.5	-5.789137158585243	-0.5951897755485308	-6.232599352467924	1.1868565707696641e-4	0.04795488496282952	1.007614154652737	down
PB.36348.72	-5.301223679971005	-0.8431401635653285	-6.232729678268826	1.1866624558702949e-4	0.04795488496282952	0.9955376757111267	down
PB.30132.9	-5.542792345815996	-0.7761853127335063	-6.191567556858635	1.2497150852958992e-4	0.04823890539091683	0.9660210103947922	down
PB.25552.66	-6.274027938758962	-0.4073466503085727	-6.15323366599935	1.3117053586904045e-4	0.04905265084099272	0.947066348541628	down
PB.6964.52	-6.164111109615092	-0.35651999366624354	-6.1303492942065	1.3502920408101516e-4	0.049434416636830264	0.925110715453064	down
PB.16258.15	-5.243940314360358	-0.8481691144264449	-6.13162273177576	1.3481128662293202e-4	0.049434416636830264	0.9057606204904136	down
PB.22157.10	5.935001208407394	-0.5672414329247154	6.188907186498652	1.2539131953001283e-4	0.04823890539091683	0.845433602667601	up
PB.4790.126	5.620843961283121	-0.697008834411878	6.160337317349715	1.2999713956952328e-4	0.04905265084099272	0.8159036850893768	up
PB.11287.299	7.052012630873255	0.04534076184184702	6.118877156560488	1.3700964449206792e-4	0.04984395974268769	0.801022178739486	up
